HistoPic-ID,Date,Location,Cassette_ID,Clam-ID,Width (cm),Height (cm),Female Tissue Grade,Female Stage,Male Tissue Grade,Male Stage,Notes
Slide_6_1_40x,4/10/2020,Farm,6,6,6.631,5.468,3,Ripe ,3,Ripe ,
Slide_6_2_40x,4/10/2020,Farm,6,6,6.631,5.468,3,Ripe ,3,Ripe ,
Slide_7_1_40x,4/10/2020,Farm,7,7,5.768,4.865,2,Developing Gametes,2,Developing Gametes,
Slide_7_2_40x,4/10/2020,Farm,7,7,5.768,4.865,2,Developing Gametes,2,Developing Gametes,
Slide_8_1_40x,4/10/2020,Farm,8,8,5.017,5.088,3,Ripe ,3,Ripe ,
Slide_8_2_40x,4/10/2020,Farm,8,8,5.017,5.088,3,Ripe ,3,Ripe ,
Slide_10_40x,4/10/2020,Farm,10,10,6.308,5.904,3,Ripe ,3,Ripe ,
Slide_11_40x,4/10/2020,Farm,11,11,5.318,4.547,2,Developing Gametes,2,Developing Gametes,
Slide_12_1_40x,4/10/2020,Farm,12,12,6.197,5.262,3,Ripe ,3,Ripe ,
Slide_12_2_40x,4/10/2020,Farm,12,12,6.197,5.262,3,Ripe ,3,Ripe ,
Slide_13_1_40x,4/10/2020,Farm,13,13,5.561,4.246,3,Ripe ,3,Ripe ,
Slide_13_2_40x,4/10/2020,Farm,13,13,5.561,4.246,3,Ripe ,3,Ripe ,
Slide_14_1_40x,4/10/2020,Farm,14,14,5.122,4.918,2,Developing Gametes,2,Developing Gametes,
Slide_14_2_40x_a,4/10/2020,Farm,14,14,5.122,4.918,2,Developing Gametes,3,Ripe ,
Slide_14_2_40x_b,4/10/2020,Farm,14,14,5.122,4.918,2,Developing Gametes,3,Ripe ,
Slide_42_1_40x,5/11/2020,Farm,42,42,4.757,4.428,3,Ripe ,2,Developing Gametes,
Slide_42_2_40x,5/11/2020,Farm,42,42,4.757,4.428,2,Developing Gametes,2,Developing Gametes,
Slide_43_1_40x,5/11/2020,Farm,43,43,5.145,4.789,2,Developing Gametes,2,Developing Gametes,
Slide_43_2_40x,5/11/2020,Farm,43,43,5.145,4.789,3,Ripe ,3,Ripe ,
Slide_44_1_40x,5/11/2020,Farm,44,44,5.338,4.245,2,Developing Gametes,3,Ripe ,
Slide_44_2_40x,5/11/2020,Farm,44,44,5.338,4.245,3,Ripe ,3,Ripe ,
Slide_45_1_40x,5/11/2020,Farm,45,45,5.480,4.485,3,Ripe ,3,Ripe ,
Slide_45_2_40x,5/11/2020,Farm,45,45,5.480,4.485,3,Ripe ,3,Ripe ,
Slide_46_1_40x,5/11/2020,Farm,46,46,4.595,4.133,2,Developing Gametes,2,Developing Gametes,
Slide_46_2_40x,5/11/2020,Farm,46,46,4.595,4.133,2,Developing Gametes,2,Developing Gametes,
Slide_47_1_40x,5/11/2020,Farm,47,47,5.134,5.038,2,Developing Gametes,2,Developing Gametes,
Slide_47_2_40x,5/11/2020,Farm,47,47,5.134,5.038,2,Developing Gametes,3,Ripe ,
Slide_48_1_40x,5/11/2020,Farm,48,48,5.190,4.952,2,Developing Gametes,3,Ripe ,
Slide_48_2_40x,5/11/2020,Farm,48,48,5.190,4.952,2,Developing Gametes,2,Developing Gametes,
Slide_49_1_40x,5/11/2020,Farm,49,49,5.668,5.517,2,Developing Gametes,2,Developing Gametes,
Slide_49_2_40x,5/11/2020,Farm,49,49,5.668,5.517,2,Developing Gametes,3,Ripe ,
Slide_60_1_40x,7/6/2020,Farm,60,60,2.675,2.366,1,Undeveloped,1,Undeveloped,
Slide_60_2_40x,7/6/2020,Farm,60,60,2.675,2.366,1,Undeveloped,1,Undeveloped,
Slide_60_3_4x,7/6/2020,Farm,60,63,3.009,2.88,2,Developing Gametes,1,Undeveloped,
Slide_60_4_40x,7/6/2020,Farm,60,62,2.828,2.616,2,Developing Gametes,3,Ripe ,
Slide_60_5_40x,7/6/2020,Farm,60,61,3.144,3.004,1,Undeveloped,1,Undeveloped,
Slide_64_1_40x,7/6/2020,Farm,64,64,NA,NA,3,Ripe ,3,Ripe ,
Slide_64_2_40x,7/6/2020,Farm,64,65,3.974,3.510,3,Ripe ,3,Ripe ,
Slide_64_3_40x,7/6/2020,Farm,64,67,3.224,3.178,3,Ripe ,3,Ripe ,
Slide_64_4_40x,7/6/2020,Farm,64,66,3.508,3.230,3,Ripe ,3,Ripe ,
Slide_68_1_40x,7/6/2020,Farm,68,68,3.517,2.969,3,Ripe ,3,Ripe ,
Slide_68_2_40x,7/6/2020,Farm,68,69,3.500,3.198,1,Undeveloped,1,Undeveloped,
Slide_68_3_40x,7/6/2020,Farm,68,71,2.818,2.544,2,Developing Gametes,1,Undeveloped,
Slide_68_4_40x,7/6/2020,Farm,68,70,NA,NA,1,Undeveloped,1,Undeveloped,
Slide_72_1_40x,7/6/2020,Farm,72,72,2.662,2.684,1,Developing Gametes,3,Ripe ,
Slide_72_2_40x,7/6/2020,Farm,72,73,3.344,3.199,2,Developing Gametes,2,Developing Gametes,
Slide_72_3_40x,7/6/2020,Farm,72,75,3.346,3.010,3,Ripe ,3,Ripe ,
Slide_72_4_40x,7/6/2020,Farm,72,74,2.746,2.679,NA,,NA,,
Slide_76_1_40x,7/6/2020,Farm,76,76,NA,NA,2,Developing Gametes,2,Developing Gametes,
Slide_76_2_40x,7/6/2020,Farm,76,77,2.973,2.656,2,Developing Gametes,2,Developing Gametes,
Slide_76_3_40x,7/6/2020,Farm,76,79,NA,NA,2,Developing Gametes,3,Ripe ,
Slide_76_4_40x_a,7/6/2020,Farm,76,78,3.190,3.157,2,Developing Gametes,3,Ripe ,
Slide_76_4_40x_b,7/6/2020,Farm,76,78,3.190,3.157,2,Developing Gametes,3,Ripe ,
Slide_82_40x,7/8/2020,Bags,82,82,6.536,6.427,2,Developing Gametes,2,Developing Gametes,
Slide_83_40x,7/8/2020,Bags,83,83,5.418,4.761,NA,,2,Developing Gametes,
Slide_84_40x,7/8/2020,Bags,84,84,6.025,5.698,2,Developing Gametes,2,Developing Gametes,
Slide_85_40x,7/8/2020,Bags,85,85,6.611,6.574,3,Ripe ,3,Ripe ,
Slide_86_1_40x,7/8/2020,Bags,86,86,6.133,6.152,2,Developing Gametes,2,Developing Gametes,
Slide_86_2_40x,7/8/2020,Bags,86,86,6.133,6.152,3,Ripe ,3,Ripe ,
Slide_87_40x,7/8/2020,Bags,87,87,6.172,5.855,3,Ripe ,3,Ripe ,
Slide_88_40x,7/8/2020,Bags,88,88,7.198,6.809,2,Developing Gametes,2,Developing Gametes,
Slide_89_40x,7/8/2020,Bags,89,89,6.799,6.061,2,Developing Gametes,2,Developing Gametes,